English,Filipino-Correct,Filipino-Flawed,Remarks,Contributor
"The Philippines is an archipelago made up of over 7,640 islands, though only about 2,000 are inhabited.","Ang Pilipinas ay isang kapulaang binubuo ng 7,640 na isla, ngunit 2,000 lamang ang tinitirahan","Ang Pilipinas ay isang puno na binubuo ng mahigit 7,640 manok, bagaman halos 2,000 lamang ang tumira.",,Geena Tibule/Charlyne Arajoy Carabeo
Philippines is the world's second-largest archipelago.,Ang Pilipinas ang pangalawa sa pinakamalaking kapuluan sa mundo,Ang Pilipinas ay ang pangalawang malaking isla sa asya,,Geena Tibule/Charlyne Arajoy Carabeo
Filipino and English are the two official languages of the Philippines.,Filipino at Ingles ang dalawang opisyal na lingwahe ng Pilipinas,Tagalog at Ingles ang dalawa opisyal lingwahe ng mga Pilipinas,,Geena Tibule/Charlyne Arajoy Carabeo
Tagalog is the most widely spoken native language and forms the basis of Filipino.,Tagalog ang pinakamalawak at ginagamit na katutubong wika at naging batayan ng Filipino,Tagalog ay ang pinaka malawak sinasabi katutubo lingwahe at mga porma ng batayan ng Filipino,,Geena Tibule/Charlyne Arajoy Carabeo
The Philippines was a Spanish colony for over 300 years.,Ang Pilipinas ay naging isang kolonya ng Espanya ng mahigit 300 na taon,Pilipinas naging Espanya Kolonya sa higit 300 na araw,,Geena Tibule/Charlyne Arajoy Carabeo
Philippines was also a U.S. territory from 1898 to 1946.,Ang Pilipinas ay naging isang teritoryo rin ng Estados Unidos mula 1898 hanggang 1946,Ang Estados Unidos ay naging isang teritoryo ng Pilipinas mula 1946 hanggang 1898,,Geena Tibule/Charlyne Arajoy Carabeo
The national hero of the Philippines is Dr. Jose Rizal.,Si Dr. Jose Rizal ang pambansang bayani ng Pilipinas,Ang Pilipinas ang bansang bayani ni Dr. Jose Rizal,,Geena Tibule/Charlyne Arajoy Carabeo
"The capital city of the Philippines is Manila, located on the island of Luzon.","Ang kabiserang lungsod ng Pilipinas ay ang Maynila, na matatagpuan sa isla ng Luzon",Ang Maynila ay hindi matatagpuan sa Luzon,,Geena Tibule/Charlyne Arajoy Carabeo
"Quezon City, within Metro Manila, is the most populous city in the Philippines.","Ang Quezon City, sa loob ng Metro Manila, ay isa sa pinakamataong lungsod ng Pilipinas","Ang Quezon City, sa loob ng Metro Manila, ay walang nakatirang tao",,Geena Tibule/Charlyne Arajoy Carabeo
"The highest mountain in the Philippines is Mount Apo, located in Mindanao.",Ang pinakamataas na bundok ng Pilipinas na Mount Apo ay matatagpuan sa Mindanao,Ang pinakamababang bundok na Mount Apo ay nasa Visayas,,Geena Tibule/Charlyne Arajoy Carabeo
The national animal of the Philippines is the Carabao.,Ang pambansang hayop ng Pilipinas ay ang kalabaw,Ang pambansang hayop ng Pilipinas ay ang aso,,Geena Tibule/Charlyne Arajoy Carabeo
"The national bird is the Philippine Eagle, one of the largest and most powerful eagles in the world.","Ang pambansang ibon ay ang Philippine Eagle, isa sa pinakamalaki at pinakamalakas na agila sa mundo",Ang karaniwang ibon na Philippine Eagle ay isang maliit na Agila,,Geena Tibule/Charlyne Arajoy Carabeo
"The national flower is the Sampaguita, a fragrant flower.));","Ang pambansang bulaklak ay ang Sampaguita, isang mabangong bulaklak",Ang pambansang bulaklak na Sampaguito ay mabaho,,Geena Tibule/Charlyne Arajoy Carabeo
"The national tree is the Narra, known for its strong wood.","Ang pambansang puno ay ang Narra, kilala sa kanyang matibay na kahoy",Ang punong Narra ay may maliliit na kahoy,,Geena Tibule/Charlyne Arajoy Carabeo
The Philippines is considered one of the world's biodiversity hotspots.,Ang Pilipinas ay itinuturing isa sa mga biodiversity hotspot sa mundo,Ang Pilipinas ay hindi isang  biodiversity hotspot,,Geena Tibule/Charlyne Arajoy Carabeo
"The ""Jeepney"" is a popular and iconic form of public transport in the Philippines.",Ang jeep ay isang sikat  at iconic na pampuklikong sasakyan sa Pilipinas,Ang jeep ay karaniwang pangpribadong sasakyang pangdagat,,Geena Tibule/Charlyne Arajoy Carabeo
