English,Filipino,Rating,Remarks 1,Remarks 2,pred_raw,pred_rating
The children laughed and played under the afternoon sun.,Ang mga bata ay nagtawanan at naglaro sa ilalim ng hapon na araw.,4.0,"Accurate, fluent, and natural translation. Captures the tone and meaning well.","Just slight error due to the literal translation of the ""afternoon sun"" to ""hapon na araw"". Afternoon sun means the Sun during the afternoon","Rating: 5
Remarks: The translation is accurate, fluent, and uses appropriate lexical choices. The sentence structure is natural in Filipino.",5
She took a break to gather her thoughts.,Nagpahinga siya para mag-isip-isip.,4.0,"The translation is accurate. It was able to capture the meaning of the idiom ""gather her thoughts"", instead of translating it literally to ""kumuha ng ideya""",The translation would have been better if the translation also captured the gender indicated by the pronoun.,"Rating: 5
Remarks: The translation is accurate, fluent, and uses appropriate lexical choices. ""Mag-isip-isip"" effectively captures the nuance of ""gather her thoughts.""",5
The algorithm efficiently identifies patterns in large datasets.,Mabisang kinikilala ng algoritmo ang mga pattern sa malalaking dataset.,3.0,"The translation of ""identifies"" as ""kinikilala"" in the context of the sentence is not very accurate. The source text was translated literally.",The translation would have been better if the model didn't translated very literally.,"Rating: 5
Remarks: The translation is accurate, fluent, and uses appropriate lexical choices. The word order is natural in Filipino, and the meaning is preserved.",5
Data normalization helps improve model performance.,Tumutulong sa pagpabuti ng model ang normalisasyon ng datos,5.0,The translated text is natural and captures the entire essence of the source text,"The translation didn't literally translated the text, and the model was able to capture the relationship between data normalization and model performance.","Rating: 5
Remarks: The translation is accurate, fluent, and uses appropriate lexical choices. The word order is natural in Filipino.",5
alam mo ma'am masaya naman topics natin sa philosophy inaantok lang talaga ko kasi ikaw nagdidiscuss,"You know, ma'am, we have a lot of fun philosophy topics. I'm just really sleepy in what you're discussing.",4.0,"flawed translation is close, but failed to translate that the cause of antok is the ma'am and not the topic.",,"Rating: 5
Remarks: The translation accurately captures the meaning and tone of the original Filipino sentence. The English is natural and grammatically correct.",5
It's raining cats and dogs.,Umuulan ng pusa at aso.,1.0,"Literal translation of an idiom, doesn't make sense in Filipino.",Fails to capture the idiomatic meaning; sounds nonsensical.,"Rating: 1
Remarks: The translation is literal and doesn't convey the idiomatic meaning of the English sentence. A more appropriate translation would be ""Bumubuhos ang ulan.""",1
The party of the first part shall not be held liable for any unforeseen damages.,Ang partido ng unang bahagi ay hindi mananagot para sa anumang hindi inaasahang pinsala.,4.0,"Accurate and understandable, good for formal/legal context.","Effectively conveys legal terminology, correct but a bit stiff.","Rating: 5
Remarks: The translation is accurate, fluent, and uses appropriate legal terminology in Filipino.",5
Thank you for coming to the event.,Salamat sa pagpunta sa kaganapan.,5.0,"Perfect, natural, and accurate.","Excellent, natural, and idiomatic translation.","Rating: 5
Remarks: The translation is accurate, fluent, and uses appropriate lexical choices. It effectively conveys the original meaning in natural Filipino.",5
"Despite her exhaustion, she finished the report before the deadline.","Sa kabila ng kanyang pagod, natapos niya ang ulat bago ang deadline.",5.0,"Excellent, accurate, and flows well.","Fluent, accurate, and retains original meaning.","Rating: 5
Remarks: The translation accurately conveys the meaning of the original sentence in a natural and grammatically correct way. The word choices are appropriate.",5
That designer bag costs an arm and a leg.,Napakamahal ng designer bag na 'yan.,5.0,"Accurate, Fluent, Coherent, Complete, and captures the meaning of the idiomatic expression.","Complete, and sounds natural. Captures the meaning well.","Rating: 5
Remarks: The translation accurately conveys the meaning of the idiom ""costs an arm and a leg"" in a natural and concise way.",5
"I didn’t want to go to the dentist, but I had to bite the bullet and get it over with.","Ayoko sanang pumunta sa dentista, pero kailangan kong tiisin ito para matapos na.",4.0,"Complete, and accurately translates the idiomatic expression, with slight errors in tenses. The translation doesn't capture that the event was already done in the past. ",Good translation but conjugation is incorrect,"Rating: 5
Remarks: The translation accurately captures the meaning of ""bite the bullet"" with ""tiisin ito para matapos na,"" conveying the sense of enduring something unpleasant to get it over with. The sentence is fluent and grammatically correct in Filipino.",5
Mark accidentally let the cat out of the bag about the surprise trip.,Hindi sinasadyang nailabas ni Mark ang pusa mula sa maleta tungkol sa surprise trip.,3.0,"Complete, and gramatically correct. However, the idiomatic expression was translated literally which loses the original intent of the sentence.",Idiom was not translated correctly,"Rating: 2
Remarks: The translation is literal and misses the idiomatic meaning of ""let the cat out of the bag."" It incorrectly translates the idiom, making the sentence nonsensical.",2
I won’t be able to attend the meeting later because I’m feeling under the weather.,Hindi ako makakadalo sa meeting mamaya dahil masama ang pakiramdam ko.,5.0,"Accurate, Fluent, Coherent, Complete, and captures the meaning of the idiomatic expression.",Complete and grammatically correct,"Rating: 5
Remarks: The translation accurately conveys the meaning of the original sentence in a natural and grammatically correct way. The phrase ""masama ang pakiramdam ko"" is a common and appropriate way to express ""feeling under the weather"" in Filipino.",5
Darkness is not heresy. It lies within us all.,Hindi kasalanan ang kadiliman. Nagsisinungaling ito sa loob natin.,2.0,"flawed translation takes ""lies"" as literal ""being untruthful"" or ""nagsisinungaling""",,"Rating: 3
Remarks: The translation of ""It lies within us all"" as ""Nagsisinungaling ito sa loob natin"" is inaccurate. It implies that the darkness is lying inside us, which is not the intended meaning. A better translation would be ""Nasa loob natin itong lahat"" or ""Bahagi natin itong lahat.""",3
This would be easier if blood came in more colours.,Ito ay magiging mas madali kung ang dugo ay dumating sa mas maraming kulay.,2.0,"flawed translation takes ""came in more colors"" literally",,"Rating: 3
Remarks: The translation is grammatically correct but sounds unnatural. A more natural phrasing would be ""Mas madali sana ito kung ang dugo ay may mas maraming kulay."" The original translation is too literal.",3
"This guy right here is Shadow, and he's kinda my biggest rival. He's also a real buzz-kill.","Ang lalaking ito dito ay si Shadow, at siya ang aking pinakamalaking karibal. Isa rin siyang totoong buzz-kill.",1.0,"""Ang lalaking ito dito"" should not have ""dito""","buzz-kill is not translated. also ""totoong buzzkill"" is too litteral.","Rating: 5
Remarks: The translation accurately captures the meaning and tone of the original English sentence. The word choices are appropriate, and the sentence flows naturally in Filipino.",5
Stealth is not your thing. But it's adorable you're willing to try.,Ang pagnanakaw ay hindi bagay sa iyo. Ngunit ito ay kaibig-ibig na handa kang subukan.,1.0,"""sumubok"" might be better than ""subukan"" in this context","Changing adorable to ""nakakabilib"" (impressive) changes the tone for this line. Rouge calling Knuckles ""cute"" is meant to have immasculating undertones. In the incorrect translation, stealth is refering to the act of being stealthy/quiet/hidden. Pagnanakaw is theft. wrong translation entirely.","Rating: 5
Remarks: The translation accurately conveys the meaning and tone of the original English sentence. The word choices are appropriate, and the sentence flows naturally in Filipino.",5
